Sl. No.	State	Name Of The Branch & Address	Branch Code No.	Branch City
1	Delhi	New Delhi Main Branch,11, Parliament Street, New Delhi – 110001	691	New Delhi
2	Haryana, Punjab and Chandigarh	Chandigarh Main Branch,SCO 43-48, Banking Square,Sector-17B, Chandigarh, State: Chandigarh,Pin : 160017	628	Chandigarh
3	HimachalPradesh	Shimla Main BranchNear Kali Bari Temple, The Mall, ShimlaHimachal Pradesh, District : ShimlaState: Himachal Pradesh, Pin : 171003	718	Shimla
4	Jammu andKashmir	Badami Bagh (Srinagar) BranchBadami Bagh Cantonment, Srinagar, KashmirDist : Badgam, State: Jammu & KashmirPin : 190001	2295	Srinagar
5	Uttarakhand	Dehra Dun Main Branch4, Convent Road, DehradunUttarakhand , State: Uttarakhand Pin : 248001	630	Dehradun
6	Gujarat, Dadar & Nagar Haveliand Daman & Diu	Gandhinagar Branch, I Floor,Zonal Office, Sector 10 B GandhinagarDistt: Gandhinagar, Gujarat. Pin: 382010.	1355	Gandhinagar
7	MadhyaPradesh	Bhopal Main Branch,T.T.Nagar,Bhopal-462003, Bhopal,Madhya Pradesh, District : Bhopal,State: Madhya Pradesh. Pin : 462003	1308	Bhopal
8	Chhattisgarh	Raipur Main BranchP.B.N0.29/61, Jaistambh Chowk, Raipur,District : Raipur, State : Chhatisgarh, Pin: 492001	461	Raipur
9	Rajasthan	Jaipur Main Branch, P.B.No.72,Sanganeri Gate, Jaipur, RajasthanDistrict :Jaipur, State: Rajasthan,  Pin : 302003	656	Jaipur
10	Maharashtra	Mumbai Main Branch,Mumbai Samachar MargHorniman Circle, Fort, Mumbai,Maharashtra      Pin : 400001	300	Mumbai
11	Goa, Lakshadweep	Panaji BranchOpp : Hotel Mandovi, Dayanand,Dayanand Bandodkar Marg,Panaji, Goa . District : North Goa, State : Goa,Pin: 403001	509	Panaji
12	Uttar Pradesh	Lucknow Main Branch,Tarawali Kothi, Motimahal Marg,Hazratganj, Lucknow, Uttar PradeshDistrict : Lucknow, State: Uttar PradeshPin:  226001	125	Lucknow
13	Odisha	Bhubaneswar Main BranchP.B.No.14, BhubaneswarBhubaneswar, Orissa. District : KhurdaState: Odisha, Pin : 751001	41	Bhubaneswar
14	West Bengal and Andaman& Nicobar	Kolkata Main Branch,Samriddhi Bhawan1, Strand Road, Kolkata, West Bengal,District :Kolkata. State: West Bengal.Pin : 700001	1	Kolkata
15	Bihar	Patna Main BranchWest Gandhi Maidhan, Patna, Bihar.Pin: 800001	152	Patna
16	Jharkhand	Ranchi BranchCourt Compound, RanchiJharkhand, District : Ranchi,State: Jharkhand, Pin : 834001	167	Ranchi
17	Sikkim	Gangtok BranchM G Marg, Gangtok SIKKIMDist: East Sikkim, State : Sikkim Pin : 737101	232	Gangtok
18	ArunachalPradesh	ltanagar BranchTI Marg,VIP Road Bank Tinali, ltanagar,Arunachal PradeshDistrict : PapumpareState : Arunachal Pradesh Pin : 791111	6091	Itanagar
19	Nagaland	Kohima BranchNear deputy commissioner's officeKohima, Nagaland, Pin: 797001	214	Kohima
20	Assam	Guwahati Branch,Pan Bazar,MG Road, Kamrup, Guwahati.  Pin: 781001	78	Guwahati
21	Manipur	lmphal BranchM G Avenue, lmphal west, Manipur, Pin: 795001	92	Imphal
22	Meghalaya	Shillong BranchMG road, Near General PO Shillong,District: Khasi Hills (E), Meghalaya, Pin: 793001	181	Shilong
23	Mizoram	Aizawl BranchSolomns caveDistrict: Aizawl. Mizoram,  Pin: 796001	1539	Aizawl
24	Tripura	Agartala BranchHari Ganga Basak Road,Agartala, District: Tripura (W), Tripura, Pin: 799001	2	Agartala
25	AndhraPradesh	Visakhapatnam BranchRednam Gardens, Jail Road, Junction,Opp. Pages/Vodaphone Off ,Visakhapatnam, VisakhapatnamDistrict: Visakhapatnam, State : Andhra PradeshPin : 530002	952	Visakhapatnam
26	Telangana	Hyderabad Main BranchBank Street, Koti, Hyderabad.District : Hyderabad, State: Telangana Pin: 500095	847	Hyderabad
27	Tamil Nadu and Puducherry	Chennai Main Branch336/166, Thambuchetty  Street, Parrys,Chennai. State: Tamil Nadu    Pin : 600001	800	Chennai
28	Karnataka	Bengaluru Main Branch,Post Bag No.5310,St. Marks Road, Bangalore, District : Bangalore Urban,State : Karnataka, Pin : 560001	813	Bengaluru
29	Kerala	Thiruvananthapuram BranchP.B.No.14, M.G.Road,Thiruvananthapuram, District : Trivandrum,State: Kerala. Pin : 695001	941	Thiruvananthapuram
